,level_0,index,radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal,distanze
0,13065,502504,GSM,222,10,31010,28691,,12.62004,41.890106,9674,2,1,1328682906,1355149495,,10598.96954427886
1,14296,516983,GSM,222,88,30046,19451,,12.531353999999999,41.986043,2172,4,1,1329915277,1342431504,,11129.385618641847
2,14301,517090,GSM,222,88,30046,16608,,12.60592,41.918988,4129,7,1,1329919687,1349680428,,9953.572607818684
3,14302,517091,GSM,222,88,30046,55647,,12.604219,41.928253999999995,9245,23,1,1329919687,1349680918,,10201.358937276658
4,14303,517092,GSM,222,88,30046,55650,,12.610000999999999,41.912301,3419,4,1,1329919687,1349680428,,10068.690805737382
5,14304,517093,GSM,222,88,30046,55652,,12.606106,41.918583,4001,4,1,1329919688,1349680428,,9953.863762883719
6,14305,517112,GSM,222,88,30048,18839,,12.59043,41.843897,1901,2,1,1329920427,1342433280,,9630.737408253199
7,14306,517113,GSM,222,88,30048,17613,,12.604799,41.849328,6280,6,1,1329920427,1360142060,,10380.835846303902
8,14307,517114,GSM,222,88,30048,17611,,12.588514,41.905357,8700,3,1,1329920427,1330609475,,8157.810725580304
9,14308,517115,GSM,222,88,30048,8973,,12.608533,41.85333,5738,5,1,1329920427,1360141666,,10478.80471131144
10,14309,517116,GSM,222,88,30020,29919,,12.579861,41.838201,5860,4,1,1329920427,1360135698,,9280.97606191968
11,14329,517301,GSM,222,88,30020,16796,,12.562233,41.812977000000004,3110,15,1,1329925581,1374131984,,10354.384399369375
12,14330,517302,GSM,222,88,30020,64246,,12.56245,41.815608000000005,2889,2,1,1329925581,1345714081,,10124.013284097271
13,14331,517303,GSM,222,88,30020,29921,,12.598685000000001,41.849911999999996,6823,5,1,1329925581,1360135448,,9897.259149890937
14,14332,517313,GSM,222,88,30046,29749,,12.598459,41.930991999999996,5586,18,1,1329926320,1339050103,,9903.792421476208
15,14333,517314,GSM,222,88,30046,55651,,12.599017,41.929897,5710,20,1,1329926320,1342433280,,9890.187358837038
16,14334,517315,GSM,222,88,30046,29750,,12.597703,41.931058,5541,20,1,1329926320,1339050601,,9851.442925295045
17,14335,517316,GSM,222,88,30048,16607,,12.586768,41.945815,3711,4,1,1329926320,1345715322,,9978.497243770364
18,14339,517320,GSM,222,88,30046,8819,,12.565107000000001,41.974031,5834,6,1,1329926320,1349679883,,11099.02596150222
19,15369,525196,GSM,222,88,30048,18842,,12.585937,41.831462,1054,2,1,1330599256,1360132043,,10145.513278943014
20,15370,525199,GSM,222,88,30048,17615,,12.585777,41.831213,1024,2,1,1330599256,1342432757,,10153.167304758224
21,15430,525766,GSM,222,88,30060,9116,,12.623181,41.880376,11351,3,1,1330608861,1377773013,-96.0,10914.850162336059
22,15431,525791,GSM,222,88,30048,17618,,12.603786,41.870979,3705,3,1,1330609475,1360135698,,9493.837426739257
23,15432,525792,GSM,222,88,30048,30011,,12.600117,41.869333000000005,5838,4,1,1330609475,1345715041,,9241.522235458831
24,15433,525793,GSM,222,88,30048,17617,,12.607424,41.885965999999996,5340,3,1,1330609475,1345715040,,9563.656677740644
25,15434,525794,GSM,222,88,30048,8977,,12.615545,41.909203000000005,695,2,1,1330609475,1345715041,,10440.585331505446
26,15440,525826,GSM,222,88,30046,19111,,12.573155999999999,41.96236,5712,2,1,1330610085,1349680428,,10451.452585581346
27,18515,574630,GSM,222,10,31008,30032,,12.586933,41.946829,4479,7,1,1333537970,1377792460,-56.0,10059.269423406748
28,18520,574641,GSM,222,10,31008,28988,,12.590219,41.942038000000004,5038,6,1,1333538091,1377792461,-100.0,9956.52603799691
29,18521,574643,GSM,222,10,31006,28993,,12.609722999999999,41.91265,5075,4,1,1333538206,1333545495,,10055.850095514761
30,18522,574647,GSM,222,10,31008,30033,,12.548766,41.967403000000004,7522,10,1,1333538303,1400783139,-52.0,9772.115749495943
31,18523,574648,GSM,222,10,31008,30031,,12.557207,41.959724,7603,6,1,1333538303,1348134292,,9414.713080002908
32,18524,574649,GSM,222,10,31008,56461,,12.58509,41.937711,2992,6,1,1333538303,1351945234,,9332.759185673262
33,18526,574653,GSM,222,10,31006,28323,,12.606999,41.875426000000004,1331,2,1,1333538337,1333705083,,9657.6582517314
34,18528,574664,GSM,222,10,31006,28757,,12.602356,41.852514,1164,3,1,1333538524,1341389483,,10046.181522509325
35,18534,574678,GSM,222,10,31006,51921,,12.611962,41.898831,4354,3,1,1333538832,1341389257,,9974.339308095965
36,18535,574680,GSM,222,10,31006,23642,,12.611962,41.898831,4354,3,1,1333538832,1341389257,,9974.339308095965
37,18536,574681,GSM,222,10,31006,23643,,12.608982000000001,41.908833,4793,6,1,1333538832,1341388909,,9899.21492077211
38,18540,574688,GSM,222,10,31006,23967,,12.59448,41.837358,4778,13,1,1333539095,1333545284,,10312.232278599146
39,18541,574690,GSM,222,10,31006,28753,,12.600597,41.853299,1565,5,1,1333539096,1341390527,,9877.077957070574
40,18542,574691,GSM,222,10,31006,28758,,12.602325,41.86057,4392,7,1,1333539096,1341390527,,9704.818292522003
41,18543,574692,GSM,222,10,31006,30071,,12.597916,41.845044,1611,4,1,1333539096,1341390527,,10097.839230702708
42,18546,574703,GSM,222,10,31006,30072,,12.608984,41.841985,5543,5,1,1333539370,1343370729,,11065.558048427318
43,18548,574706,GSM,222,10,31006,46293,,12.595279,41.836621,4841,19,1,1333539552,1341390527,,10413.439892318964
44,18550,574709,GSM,222,10,30003,23213,,12.594273,41.833432,1692,17,1,1333539641,1333544984,,10552.794634253334
45,18552,574716,GSM,222,10,30008,24183,,12.586299,41.828538,5837,19,1,1333539899,1354298407,,10379.95596171173
46,18553,574717,GSM,222,10,30008,24193,,12.589953999999999,41.830825,6233,12,1,1333539899,1354298407,,10447.760954165267
47,18558,574726,GSM,222,10,31006,46292,,12.598624000000001,41.845512,3815,4,1,1333540094,1333545284,,10123.307391686703
48,18560,574738,GSM,222,10,65310,46292,,12.594899,41.834423,211,13,1,1333540395,1333544595,,10529.371851603832
49,18565,574862,GSM,222,10,31019,30227,,12.592978,41.843354,4176,4,1,1333542585,1348134281,,9842.046269903638
50,18567,574989,GSM,222,10,31006,23802,,12.604648,41.901882,5747,5,1,1333545038,1341389183,,9410.976737028648